"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.7.33",57954,"172.26.211.223",6002,12,1003,8,717,4,286,277.739404375,1.9194914230000109,2988.2915501831694,1191.9824035598137
"192.168.7.33",57956,"172.26.211.223",6002,30,2180,15,1168,15,1012,284.675744716,3.011541862999991,3102.729573445756,2688.32391123896
"192.168.7.33",57958,"172.26.211.223",6002,86,94009,68,92613,18,1396,284.823375864,10.11410946899997,73254.4968265265,1104.2000320671073
"192.168.7.33",57960,"172.26.211.223",6002,20,1524,11,896,9,628,287.228046555,6.575592921000009,1090.0918116612818,764.0375644233092
"192.168.7.33",57962,"172.26.211.223",6002,87,90007,64,88211,23,1796,293.372416255,1.7177173590000052,410828.9389418681,8364.589159397297
"192.168.7.33",57964,"172.26.211.223",6002,33,2909,18,1674,15,1235,293.710230827,6.565709798,2039.6880782149974,1504.787799638902
"192.168.7.33",57966,"172.26.211.223",6002,126,120303,84,117051,42,3252,295.161765744,5.048112164000031,185496.67075107293,5153.609736631803
"192.168.7.33",57968,"172.26.211.223",6002,39,3331,20,1822,19,1509,300.628650663,6.059385092000014,2405.5246165562517,1992.2813646451064
"192.168.7.33",57970,"172.26.211.223",6002,165,153007,106,148775,59,4232,300.8927582,5.747928713000022,207065.89441656417,5890.121762197275
"192.168.7.33",58156,"172.26.211.223",6001,35,3047,18,1675,17,1372,321.648422537,5.471840777000011,2448.9016669353227,2005.9063206180674
"192.168.7.33",58158,"172.26.211.223",6001,282,246527,169,238247,113,8280,321.915072862,5.142339830000026,370643.72698215675,12881.295711644882
"192.168.7.33",58160,"172.26.211.223",6001,23,1744,12,968,11,776,328.646792672,6.908838485999979,1120.8830566371448,898.5591445768846
"192.168.7.33",58162,"172.26.211.223",6001,173,153807,106,148775,67,5032,334.384179528,4.757551281000019,250170.71381936307,8461.495761647016
"192.168.7.33",58164,"172.26.211.223",6001,18,1386,9,760,9,626,340.696499176,1.8618619460000332,3265.5482395255376,2689.7805236091926
"192.168.7.33",58166,"172.26.211.223",6001,20,1650,11,1011,9,639,342.757624939,6.943061204999992,1164.904033133899,736.2746559570342
"192.168.7.33",58168,"172.26.211.223",6001,32,2304,16,1236,16,1068,349.742626459,9.241879365999978,1069.9122557666183,924.4872889633886
